Date,Food & Beverages,Tobacco,Textiles/Clothing,Housing/Utilities,Furniture/Household,Medical Care,Transportation,Communications,Recreation/Culture,Education,Restaurants/Hotels,Miscellaneous,__sum,__headline,__residual
2014-01-01,,,,,,,,,,,,,0.0,,
2014-02-01,,,,,,,,,,,,,0.0,,
2014-03-01,,,,,,,,,,,,,0.0,,
2014-04-01,,,,,,,,,,,,,0.0,,
2014-05-01,,,,,,,,,,,,,0.0,,
2014-06-01,,,,,,,,,,,,,0.0,,
2014-07-01,,,,,,,,,,,,,0.0,,
2014-08-01,,,,,,,,,,,,,0.0,,
2014-09-01,,,,,,,,,,,,,0.0,,
2014-10-01,,,,,,,,,,,,,0.0,,
2014-11-01,,,,,,,,,,,,,0.0,,
2014-12-01,,,,,,,,,,,,,0.0,,
2015-01-01,0.019574468085107943,0.034383954154727725,-0.03006908981676194,2.5135817552433313,0.16341263330598893,0.017045683236063792,0.21672220539230388,0.022447953334003533,0.034192249622546037,0.16822145609409822,0.09855159927579946,0.3483937609751052,3.6064586289023137,3.662000405761834,0.05554177685952011
2015-02-01,0.1206097560975616,0.0382726156365123,-0.05119095276220971,2.5263109756097526,0.14287461773700372,0.012813034295484416,0.24060256799110497,0.022450211225105245,0.003441720860430353,0.16822145609409822,0.05833667334669352,0.2438716250636773,3.5266143011952145,3.616288492706654,0.08967419151143963
2015-03-01,0.1633969582525265,0.035243640821330136,-0.055334863758857926,3.1739363314805447,0.11674583122789314,0.013224801527484686,0.24018974566006981,0.022450211225105245,0.0021506451935579206,0.16822145609409822,0.09318705540527074,0.21799694966954775,4.191408762798571,4.315746917323615,0.12433815452504415
2015-04-01,0.1208553971486758,0.03309837572785779,-0.03691570115860961,3.131562499999999,0.09010922938170154,0.00983540746688103,0.19824984912492416,-0.0003095356964555429,0.0030118070842512167,0.16454747924681146,0.19848697394789674,0.25323975180551345,4.165771534079447,4.254890098810238,0.08911856473079105
2015-05-01,0.19785945072697686,0.03309837572785779,-0.07843803056027128,3.199022571543738,0.08048707455833863,0.008139534883721256,0.1980506430868177,-0.002165668662674536,-0.00816754973507956,0.16454747924681146,0.23481659651232717,0.25417978669375285,4.281430264022316,4.316763936405721,0.03533367238340457
2015-06-01,0.1991781096521966,-0.000987849451743683,-0.11060530265132623,3.479031120958802,0.05452914798206265,0.0077177508269018705,0.05675271603707861,-0.002165668662674536,-0.0012890976316578874,0.16454747924681146,0.22607389606488404,0.0459616330545984,4.118743935425933,4.218859605170855,0.10011566974492148
2015-07-01,0.4686687493701473,-0.009203054630898655,-0.1000400200100048,3.39460110386352,0.05518341307815007,-0.0006979062811566017,0.024676874130046444,-0.002165668662674536,-0.0008594843094143045,0.16454747924681146,0.2310966449674514,0.021982335623158634,4.247790466385137,4.43576649644537,0.18797603006023333
2015-08-01,0.08841793987185591,-0.009106041319886238,-0.12923677884615342,3.3587474949899763,0.04617374863170483,-0.0009765819631288198,1.5648554683619726,-0.002165452549645841,-0.003864975531808601,0.16454747924681146,0.23986006996501927,0.04093682345994978,5.358189194316667,4.9451645064805705,-0.4130246878360966
2015-09-01,0.2830630982613797,-0.009300048947626038,-0.061553725568013105,2.8340933767643888,0.05509554140127335,0.00027921818907041814,0.8665937562139585,-0.002165668662674536,0.0,0.14249780637613388,0.24340829585207413,0.0479779049122115,4.399989554792176,4.286843145001984,-0.11314640979019241
2015-10-01,0.05901448148508113,0.0011871784724970524,-0.013759555246699463,2.8270997634069404,0.04140951622536378,0.0006982543640900119,0.235249651879847,-0.003093812375249927,0.0008587976832431065,0.14249780637613388,0.24409354387367668,0.0663572627629108,3.6016128889078343,3.6803157375431717,0.07870284863533739
2015-11-01,0.161920725695126,0.0011871784724970524,0.00898910411622258,2.81873646919897,0.009132060617988458,-0.0016728069302003323,-0.12628753231258633,-0.002475049900199322,0.003006692638098318,0.14249780637613388,0.18586018839861254,0.0638924582386096,3.2647872946092726,3.519177540529861,0.25439024592058823
2015-12-01,0.1674723962996093,0.0011871784724970524,0.018923541247484098,2.863206997084548,0.012267767620171099,-0.008325074331020987,-0.21592059553349977,-0.002784987023358232,0.0012887112887111974,0.14249780637613388,0.2200456938511969,0.08243336966214088,3.2822928050146136,3.596059113300498,0.3137663082858846
2016-01-01,0.3308984216916189,0.0011871784724970524,0.03167946645109132,2.017674947847526,-0.016546341463414292,-0.0025052192066806313,-0.6116019900497495,-0.0021667498751874238,-0.00042939884162155326,0.14249780637613388,0.21060515873015878,-0.0031347962382447746,2.0981584838941285,2.5540659555729484,0.45590747167881984
2016-02-01,0.22244610114849725,-0.004533806426177733,0.057365050320219234,1.964887879648032,-0.009679937548790107,0.0,-0.9860155162124542,-0.0018573996405032212,0.005588323502949022,0.14454518865165253,0.223683164380839,0.010050053979782092,1.6264791018040456,2.199628507185447,0.5731494053814015
2016-03-01,0.3689095127610211,-0.003157686994276765,0.09245761851588644,1.2768583579881672,-0.009048361934477712,-0.0011149825783973054,-1.3322808062754439,-0.0018573996405032212,0.005588882223555402,0.14454518865165253,0.18606606012658275,-0.002517207472959626,0.724449175370807,1.4242805929658209,0.6998314175950139
2016-04-01,0.4235009085402757,-0.0010877088895481224,0.07466666666666641,1.2561997968793255,-0.017153996101364654,0.00013952561291579179,-0.8866924679964256,-0.004024365887756865,-0.0030096990300974903,0.15916220165611308,0.07889657861389947,-0.034442270058708147,1.0461551700052951,1.6247582205028976,0.5786030504976025
2016-05-01,0.09066295042803123,0.0011865915158708606,0.11647058823529444,1.1843113772455025,-0.019004965436666056,0.00376719154873415,-0.34014077525528086,-0.004024767801857421,0.004306891025640414,0.15916220165611308,0.04408226620101012,-0.009378663540445586,1.231400885821947,1.620526671168121,0.38912578534617404
2016-06-01,0.13498666139709625,0.0011865915158708606,0.1673913043478268,0.9473953573386977,0.006270821085635703,0.006279904306220274,0.031890389197776384,-0.004024767801857421,-0.004298280687725031,0.15916220165611308,0.05029597282872384,-0.03625708146122335,1.4602790737231552,1.7596153846153761,0.2993363108922209
2016-07-01,0.08608187134502986,0.000494071146245112,0.1545810978126285,0.9212010586839443,0.009093581577658227,0.007401496259351825,0.14346401985111532,-0.004643962848297156,-0.004298280687725031,0.15916220165611308,0.049582929194955855,0.007511002444988435,1.5296310864360085,1.7641418983700863,0.23451081193407775
2016-08-01,0.14597453476983507,0.02183794466403155,0.22084853539038807,1.5676730821855356,0.005650382577987045,0.026525727961707136,-1.5771038937735498,-0.0588176552826043,-0.15817672930827686,0.21971748660496837,0.16749492410325753,0.13141683778234067,0.7130411776756201,1.2825384761542713,0.5694972984786512
2016-09-01,-0.21133231240428899,0.027569169960474316,0.09441916894146173,1.0255171785291175,0.01721945015164863,0.026520438683948065,-1.044129516658844,-0.0563467492260063,0.16787818272591096,0.20554455445544548,0.20720912253575505,0.13283728216173926,0.5929059698563617,0.7577192650123132,0.16481329515595156
2016-10-01,-0.07478950933901185,0.027569169960474316,0.08125809989033977,1.0057715065999107,0.0031446540880502027,0.07523429710867395,-0.5216327329678914,-0.06100899100899104,0.2374101437699677,0.20950495049504986,0.20716908212560395,0.13573103987490356,1.3253617105970799,1.275218880852691,-0.050142829744388884
2016-11-01,0.12104083422668493,0.027667984189723382,0.11222456987624531,0.9639247409561895,0.06719654597193596,0.07508722958827642,0.06442683782970571,-0.052636835797043355,0.08026552206029117,0.20950495049504986,0.1962121944149195,0.11900567625758356,1.983920250069562,1.9576012223071038,-0.026319027762458314
2016-12-01,0.06510073710073727,0.027667984189723382,0.08780634190257107,0.5411242603550231,0.07583235409322384,0.07523429710867395,0.06471892000805908,-0.05079428514337078,-0.17521222410865891,0.20950495049504986,0.18469987474708532,0.1489973588966052,1.2546805696447225,1.2363290537327654,-0.01835151591195716
2017-01-01,0.08726410433751504,0.007608695652173925,0.059783805424882354,0.7448880931065353,0.07468863391193495,0.07919529927298073,0.6368262540242994,-0.05234812150279789,-0.09705383002097231,0.20950495049504986,0.0875614221023211,0.5959031657355681,2.433822472539491,2.280534351145058,-0.1532881213944326
2017-02-01,0.10672218917311277,0.009603960396039612,0.05407673860911335,0.7199499015924143,0.06953117353430542,0.08022722742674876,1.1025920000000005,-0.04646282973621108,-0.18245806709265167,0.20742695570216793,0.0875614221023211,0.7795394414502697,2.98831011315763,2.6784006122058557,-0.3099095009517745
2017-03-01,-0.05423462369817269,0.012175806770936548,0.022810309074751078,0.5743605739238968,0.04098953749877765,0.07978479625386052,2.0387674825174846,-0.04770183852917648,-0.18075886170743946,0.20742695570216793,0.11836754360605099,0.8045642337202438,3.616551915133381,2.9614061902942357,-0.6551457248391452
